Input X^n%m                 Result         O(n) sec     O(log n) sec 
435911^588678 % 785059      746575         0.01278399    0.00000205
797513^771515 % 581873      328702         0.01623810    0.00000205
364343^401992 % 415050      248701         0.00879333    0.00000164
694722^160640 % 181768      144664         0.00328293    0.00000164
504133^723431 % 907881      227953         0.01547372    0.00000164
815621^245785 % 932252      74633          0.00556952    0.00000205
551169^398404 % 751670      569901         0.00893907    0.00000246
448848^813472 % 560961      65412          0.01722294    0.00000205
936981^469109 % 486914      178457         0.01033032    0.00000164
387229^724084 % 334784      257361         0.01570402    0.00000205
484457^795369 % 689326      283571         0.01701070    0.00000164
756936^686106 % 244416      151488         0.01478076    0.00000944
515255^832821 % 877175      343200         0.01775415    0.00000205
282933^192456 % 378463      317788         0.00444962    0.00000205
947490^787869 % 237953      1191           0.01667900    0.00000164
821916^987713 % 142341      126939         0.02091844    0.00000205
438540^767204 % 177827      4676           0.01656242    0.00000205
469459^722878 % 523002      225943         0.01545319    0.00000205
297659^135134 % 932830      411551         0.00278866    0.00000164
342571^481278 % 598842      429895         0.01022399    0.00000164
223046^261671 % 264620      55596          0.00533347    0.00000205
751624^516499 % 474388      71176          0.01119528    0.00000164
61476^437843 % 555763       51609          0.00939679    0.00000205
83304^786675 % 782630       110714         0.01703164    0.00000205
447574^452445 % 472304      382208         0.00988983    0.00000205
246961^858137 % 697723      287833         0.01836624    0.00000164
372007^645275 % 680306      145949         0.01365347    0.00000205
499275^995132 % 953760      354225         0.02168160    0.00000205
811614^212305 % 584786      66394          0.00436998    0.00000164
286942^302044 % 468341      314106         0.00662004    0.00000164
307808^993276 % 430239      189811         0.02105884    0.00000205
569878^794161 % 481962      448666         0.01708665    0.00000246
846774^723928 % 670001      361441         0.01563177    0.00000164
862658^221802 % 742462      275780         0.00503708    0.00000205
651505^955854 % 965060      711285         0.02061958    0.00000246
640977^934866 % 121828      23941          0.02004691    0.00000164
170506^190033 % 361605      120241         0.00383549    0.00000164
777166^176258 % 360958      143520         0.00367743    0.00000205
317038^826293 % 824175      761653         0.01752057    0.00000205
932564^401605 % 673373      91299          0.00862748    0.00000205
391147^859212 % 170680      168041         0.01813963    0.00000205
117214^332897 % 794608      282432         0.00731382    0.00000164
861313^156358 % 165759      37249          0.00345124    0.00000164
782469^749195 % 573549      266991         0.01588136    0.00000205
712546^562387 % 718897      152359         0.01227495    0.00000164
367282^265620 % 108654      44500          0.00556172    0.00000164
108485^756690 % 128785      24035          0.01615313    0.00000205
269967^724514 % 904682      659147         0.01528898    0.00000164
705210^343129 % 470799      323136         0.00753837    0.00000205
877227^347005 % 773138      749285         0.00732942    0.00000205
331555^325880 % 331905      141400         0.00711513    0.00000205
539874^812345 % 380153      376551         0.01743395    0.00000246
597373^964456 % 663563      110930         0.02072591    0.00000205
178403^515421 % 317527      206242         0.01114561    0.00000164
752622^433552 % 961244      869668         0.00952405    0.00000287
565032^330106 % 707298      249012         0.00707407    0.00000164
354725^474707 % 806840      146885         0.01003515    0.00000205
255546^61059 % 104539       73010          0.00150620    0.00000287
256990^361567 % 713406      446068         0.00769806    0.00000246
52501^803164 % 187460       131881         0.01766712    0.00000328
958136^537356 % 656522      117640         0.01202658    0.00000287
68161^893122 % 154220       21761          0.01991226    0.00000370
530667^467021 % 307476      121743         0.01041529    0.00000410
915704^84306 % 137682       78238          0.00202715    0.00000246
679533^175578 % 755374      125087         0.00397629    0.00000328
758342^92386 % 927836       276224         0.00200128    0.00000164
382552^807322 % 738202      415490         0.01819587    0.00000411
707751^736590 % 79398       4851           0.01698853    0.00000452
773790^815793 % 455112      89424          0.01824472    0.00000411
469173^566245 % 738139      380637         0.01236157    0.00000452
930898^454747 % 369975      345622         0.01063205    0.00000369
179509^437317 % 430471      350308         0.01043336    0.00000328
569682^347870 % 150012      21708          0.00837132    0.00000410
164463^875181 % 786015      748188         0.01995577    0.00000369
213116^544034 % 698508      451888         0.01266658    0.00000369
190104^623124 % 294215      12636          0.01446589    0.00000370
910843^217670 % 995193      714334         0.00498084    0.00000328
520937^894355 % 747495      27458          0.02016801    0.00000411
